signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
SFM_BFSK_000_000_-12dB,dual/val/signals/SFM_BFSK_000_000_-12dB.npy,SFM,BFSK,5,6,-12,0.30301908970340985,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_000_-09dB,dual/val/signals/SFM_BFSK_000_000_-09dB.npy,SFM,BFSK,5,6,-9,0.30301908970340985,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_000_-06dB,dual/val/signals/SFM_BFSK_000_000_-06dB.npy,SFM,BFSK,5,6,-6,0.30301908970340985,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_000_-03dB,dual/val/signals/SFM_BFSK_000_000_-03dB.npy,SFM,BFSK,5,6,-3,0.30301908970340985,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_000_+00dB,dual/val/signals/SFM_BFSK_000_000_+00dB.npy,SFM,BFSK,5,6,0,0.30301908970340985,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_000_+03dB,dual/val/signals/SFM_BFSK_000_000_+03dB.npy,SFM,BFSK,5,6,3,0.30301908970340985,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_000_+06dB,dual/val/signals/SFM_BFSK_000_000_+06dB.npy,SFM,BFSK,5,6,6,0.30301908970340985,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_000_+09dB,dual/val/signals/SFM_BFSK_000_000_+09dB.npy,SFM,BFSK,5,6,9,0.30301908970340985,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_000_+12dB,dual/val/signals/SFM_BFSK_000_000_+12dB.npy,SFM,BFSK,5,6,12,0.30301908970340985,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_000_+15dB,dual/val/signals/SFM_BFSK_000_000_+15dB.npy,SFM,BFSK,5,6,15,0.30301908970340985,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_000_+18dB,dual/val/signals/SFM_BFSK_000_000_+18dB.npy,SFM,BFSK,5,6,18,0.30301908970340985,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_001_-12dB,dual/val/signals/SFM_BFSK_000_001_-12dB.npy,SFM,BFSK,5,6,-12,0.3664939779440135,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_001_-09dB,dual/val/signals/SFM_BFSK_000_001_-09dB.npy,SFM,BFSK,5,6,-9,0.3664939779440135,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_001_-06dB,dual/val/signals/SFM_BFSK_000_001_-06dB.npy,SFM,BFSK,5,6,-6,0.3664939779440135,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_001_-03dB,dual/val/signals/SFM_BFSK_000_001_-03dB.npy,SFM,BFSK,5,6,-3,0.3664939779440135,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_001_+00dB,dual/val/signals/SFM_BFSK_000_001_+00dB.npy,SFM,BFSK,5,6,0,0.3664939779440135,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_001_+03dB,dual/val/signals/SFM_BFSK_000_001_+03dB.npy,SFM,BFSK,5,6,3,0.3664939779440135,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_001_+06dB,dual/val/signals/SFM_BFSK_000_001_+06dB.npy,SFM,BFSK,5,6,6,0.3664939779440135,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_001_+09dB,dual/val/signals/SFM_BFSK_000_001_+09dB.npy,SFM,BFSK,5,6,9,0.3664939779440135,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_001_+12dB,dual/val/signals/SFM_BFSK_000_001_+12dB.npy,SFM,BFSK,5,6,12,0.3664939779440135,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_001_+15dB,dual/val/signals/SFM_BFSK_000_001_+15dB.npy,SFM,BFSK,5,6,15,0.3664939779440135,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_001_+18dB,dual/val/signals/SFM_BFSK_000_001_+18dB.npy,SFM,BFSK,5,6,18,0.3664939779440135,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_002_-12dB,dual/val/signals/SFM_BFSK_000_002_-12dB.npy,SFM,BFSK,5,6,-12,0.4261959173204599,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_002_-09dB,dual/val/signals/SFM_BFSK_000_002_-09dB.npy,SFM,BFSK,5,6,-9,0.4261959173204599,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_002_-06dB,dual/val/signals/SFM_BFSK_000_002_-06dB.npy,SFM,BFSK,5,6,-6,0.4261959173204599,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_BFSK_000_002_-03dB,dual/val/signals/SFM_BFSK_000_002_-03dB.npy,SFM,BFSK,5,6,-3,0.4261959173204599,1,0,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
