signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
DLFM_0000_-12dB,single/val/signals/DLFM_0000_-12dB.npy,DLFM,2,-12,"{'f0': 0.2778818149547602, 'delta_f': 0.2596167251056907}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_-09dB,single/val/signals/DLFM_0000_-09dB.npy,DLFM,2,-9,"{'f0': 0.2778818149547602, 'delta_f': 0.2596167251056907}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_-06dB,single/val/signals/DLFM_0000_-06dB.npy,DLFM,2,-6,"{'f0': 0.2778818149547602, 'delta_f': 0.2596167251056907}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_-03dB,single/val/signals/DLFM_0000_-03dB.npy,DLFM,2,-3,"{'f0': 0.2778818149547602, 'delta_f': 0.2596167251056907}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+00dB,single/val/signals/DLFM_0000_+00dB.npy,DLFM,2,0,"{'f0': 0.2778818149547602, 'delta_f': 0.2596167251056907}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+03dB,single/val/signals/DLFM_0000_+03dB.npy,DLFM,2,3,"{'f0': 0.2778818149547602, 'delta_f': 0.2596167251056907}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+06dB,single/val/signals/DLFM_0000_+06dB.npy,DLFM,2,6,"{'f0': 0.2778818149547602, 'delta_f': 0.2596167251056907}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+09dB,single/val/signals/DLFM_0000_+09dB.npy,DLFM,2,9,"{'f0': 0.2778818149547602, 'delta_f': 0.2596167251056907}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+12dB,single/val/signals/DLFM_0000_+12dB.npy,DLFM,2,12,"{'f0': 0.2778818149547602, 'delta_f': 0.2596167251056907}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+15dB,single/val/signals/DLFM_0000_+15dB.npy,DLFM,2,15,"{'f0': 0.2778818149547602, 'delta_f': 0.2596167251056907}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
