signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_BFSK_000_000_-21dB,dual/test/signals/NM_BFSK_000_000_-21dB.npy,NM,BFSK,0,6,-21,0.25189306014071755,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_-12dB,dual/test/signals/NM_BFSK_000_000_-12dB.npy,NM,BFSK,0,6,-12,0.25189306014071755,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_-06dB,dual/test/signals/NM_BFSK_000_000_-06dB.npy,NM,BFSK,0,6,-6,0.25189306014071755,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+00dB,dual/test/signals/NM_BFSK_000_000_+00dB.npy,NM,BFSK,0,6,0,0.25189306014071755,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+06dB,dual/test/signals/NM_BFSK_000_000_+06dB.npy,NM,BFSK,0,6,6,0.25189306014071755,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+12dB,dual/test/signals/NM_BFSK_000_000_+12dB.npy,NM,BFSK,0,6,12,0.25189306014071755,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+18dB,dual/test/signals/NM_BFSK_000_000_+18dB.npy,NM,BFSK,0,6,18,0.25189306014071755,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-21dB,dual/test/signals/NM_BFSK_000_001_-21dB.npy,NM,BFSK,0,6,-21,0.3494721296945824,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-12dB,dual/test/signals/NM_BFSK_000_001_-12dB.npy,NM,BFSK,0,6,-12,0.3494721296945824,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-06dB,dual/test/signals/NM_BFSK_000_001_-06dB.npy,NM,BFSK,0,6,-6,0.3494721296945824,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+00dB,dual/test/signals/NM_BFSK_000_001_+00dB.npy,NM,BFSK,0,6,0,0.3494721296945824,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+06dB,dual/test/signals/NM_BFSK_000_001_+06dB.npy,NM,BFSK,0,6,6,0.3494721296945824,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+12dB,dual/test/signals/NM_BFSK_000_001_+12dB.npy,NM,BFSK,0,6,12,0.3494721296945824,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+18dB,dual/test/signals/NM_BFSK_000_001_+18dB.npy,NM,BFSK,0,6,18,0.3494721296945824,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_-21dB,dual/test/signals/NM_BFSK_000_002_-21dB.npy,NM,BFSK,0,6,-21,0.45065460705765936,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
