signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
BPSK_0000_-12dB,single/val/signals/BPSK_0000_-12dB.npy,BPSK,8,-12,"{'f0': 0.37727535012740704, 'N': np.int64(5), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_-06dB,single/val/signals/BPSK_0000_-06dB.npy,BPSK,8,-6,"{'f0': 0.37727535012740704, 'N': np.int64(5), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_+00dB,single/val/signals/BPSK_0000_+00dB.npy,BPSK,8,0,"{'f0': 0.37727535012740704, 'N': np.int64(5), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_+06dB,single/val/signals/BPSK_0000_+06dB.npy,BPSK,8,6,"{'f0': 0.37727535012740704, 'N': np.int64(5), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_+12dB,single/val/signals/BPSK_0000_+12dB.npy,BPSK,8,12,"{'f0': 0.37727535012740704, 'N': np.int64(5), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0000_+18dB,single/val/signals/BPSK_0000_+18dB.npy,BPSK,8,18,"{'f0': 0.37727535012740704, 'N': np.int64(5), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0001_-12dB,single/val/signals/BPSK_0001_-12dB.npy,BPSK,8,-12,"{'f0': 0.12175940153935572, 'N': np.int64(5), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0001_-06dB,single/val/signals/BPSK_0001_-06dB.npy,BPSK,8,-6,"{'f0': 0.12175940153935572, 'N': np.int64(5), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0001_+00dB,single/val/signals/BPSK_0001_+00dB.npy,BPSK,8,0,"{'f0': 0.12175940153935572, 'N': np.int64(5), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0001_+06dB,single/val/signals/BPSK_0001_+06dB.npy,BPSK,8,6,"{'f0': 0.12175940153935572, 'N': np.int64(5), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
BPSK_0001_+12dB,single/val/signals/BPSK_0001_+12dB.npy,BPSK,8,12,"{'f0': 0.12175940153935572, 'N': np.int64(5), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
